date,state,district,rainfall,RH,tmin,tmax,occurred
01-01-2010,MEGHALAYA,EAST GARO HILLS,0,83.31,10.47,22.68,NO
02-01-2010,MEGHALAYA,EAST GARO HILLS,0,77.58,9.44,24.25,NO
03-01-2010,MEGHALAYA,EAST GARO HILLS,0,74.16,10.1,25.49,NO
04-01-2010,MEGHALAYA,EAST GARO HILLS,0,69.12,10.96,20.77,NO
05-01-2010,MEGHALAYA,EAST GARO HILLS,0,76.23,11.06,20.02,NO
06-01-2010,MEGHALAYA,EAST GARO HILLS,0,79.03,9.6,23.66,NO
07-01-2010,MEGHALAYA,EAST GARO HILLS,0,72.64,8.48,25.18,NO
08-01-2010,MEGHALAYA,EAST GARO HILLS,0,69.71,9.12,26.26,NO
09-01-2010,MEGHALAYA,EAST GARO HILLS,0,72.22,10.51,26.61,NO
10-01-2010,MEGHALAYA,EAST GARO HILLS,0,72.56,10.25,26.01,NO
11-01-2010,MEGHALAYA,EAST GARO HILLS,0,69.38,11.54,19.76,NO
12-01-2010,MEGHALAYA,EAST GARO HILLS,0,76.46,11.76,15.44,NO
13-01-2010,MEGHALAYA,EAST GARO HILLS,0,73.05,11.8,16.28,NO
14-01-2010,MEGHALAYA,EAST GARO HILLS,0,77.06,10.31,23.06,YES
15-01-2010,MEGHALAYA,EAST GARO HILLS,0,80.26,10.68,23.92,NO
16-01-2010,MEGHALAYA,EAST GARO HILLS,0,77.3,12.63,18.6,NO
17-01-2010,MEGHALAYA,EAST GARO HILLS,0,73.26,11.59,21.6,NO
18-01-2010,MEGHALAYA,EAST GARO HILLS,0,72.19,10.23,24.47,NO
19-01-2010,MEGHALAYA,EAST GARO HILLS,0,77.28,12.75,24.58,NO
20-01-2010,MEGHALAYA,EAST GARO HILLS,0,77.71,11.49,23.89,NO
21-01-2010,MEGHALAYA,EAST GARO HILLS,0,74.5,11.28,26.95,NO
22-01-2010,MEGHALAYA,EAST GARO HILLS,0,72.88,10.78,27.73,NO
23-01-2010,MEGHALAYA,EAST GARO HILLS,0,71.01,10.78,27.8,NO
24-01-2010,MEGHALAYA,EAST GARO HILLS,0,70.73,10.28,27.18,NO
25-01-2010,MEGHALAYA,EAST GARO HILLS,0,61.6,12.07,29.03,NO
26-01-2010,MEGHALAYA,EAST GARO HILLS,0,63.84,10.45,28.1,NO
27-01-2010,MEGHALAYA,EAST GARO HILLS,0,69.82,10.73,27.59,NO
28-01-2010,MEGHALAYA,EAST GARO HILLS,0,72.53,12.13,27.04,NO
29-01-2010,MEGHALAYA,EAST GARO HILLS,0,71.38,10.68,27.78,NO
30-01-2010,MEGHALAYA,EAST GARO HILLS,0,69.71,11,26.93,NO
31-01-2010,MEGHALAYA,EAST GARO HILLS,0,73.13,10.66,27.01,NO
01-02-2010,MEGHALAYA,EAST GARO HILLS,0,71.31,11.32,27.2,NO
02-02-2010,MEGHALAYA,EAST GARO HILLS,0,55.12,10.59,27.34,NO
03-02-2010,MEGHALAYA,EAST GARO HILLS,0,51.79,11.9,26.95,NO
04-02-2010,MEGHALAYA,EAST GARO HILLS,0,57.3,8.71,26.97,YES
05-02-2010,MEGHALAYA,EAST GARO HILLS,0,49.01,9.24,26.86,NO
06-02-2010,MEGHALAYA,EAST GARO HILLS,0,63.35,9.65,27.37,NO
07-02-2010,MEGHALAYA,EAST GARO HILLS,0,64.05,9.98,28.36,NO
08-02-2010,MEGHALAYA,EAST GARO HILLS,0,63.18,10.94,28.24,NO
09-02-2010,MEGHALAYA,EAST GARO HILLS,0,59.17,11.73,27.38,NO
10-02-2010,MEGHALAYA,EAST GARO HILLS,0,62.63,12.6,28.72,NO
11-02-2010,MEGHALAYA,EAST GARO HILLS,0,65.17,12.72,29.67,NO
12-02-2010,MEGHALAYA,EAST GARO HILLS,0,57.75,12.68,29.29,NO
13-02-2010,MEGHALAYA,EAST GARO HILLS,0,65.45,14.04,28.84,NO
14-02-2010,MEGHALAYA,EAST GARO HILLS,0,56.1,13.59,27.14,NO
15-02-2010,MEGHALAYA,EAST GARO HILLS,0,45.51,12.04,27.33,NO
16-02-2010,MEGHALAYA,EAST GARO HILLS,0,60.2,14.3,28.6,NO
17-02-2010,MEGHALAYA,EAST GARO HILLS,0,71.15,14.4,29.12,NO
18-02-2010,MEGHALAYA,EAST GARO HILLS,0,50.4,14.48,28.57,YES
19-02-2010,MEGHALAYA,EAST GARO HILLS,0,40.93,10.99,27.92,NO
20-02-2010,MEGHALAYA,EAST GARO HILLS,0,44.01,11.93,28.17,YES
21-02-2010,MEGHALAYA,EAST GARO HILLS,0,53.31,12.65,28.9,NO
22-02-2010,MEGHALAYA,EAST GARO HILLS,0,62.45,13.68,28.89,NO
23-02-2010,MEGHALAYA,EAST GARO HILLS,0.02,56.97,14.77,29.12,NO
24-02-2010,MEGHALAYA,EAST GARO HILLS,0,50.35,14.05,30.93,NO
25-02-2010,MEGHALAYA,EAST GARO HILLS,0,56.43,15.47,30.51,YES
26-02-2010,MEGHALAYA,EAST GARO HILLS,0,60.99,15.44,30.8,NO
27-02-2010,MEGHALAYA,EAST GARO HILLS,0,59.77,15.36,30.84,NO
28-02-2010,MEGHALAYA,EAST GARO HILLS,0,65.25,16.64,29.53,NO
01-03-2010,MEGHALAYA,EAST GARO HILLS,0.01,65.75,16.03,30.12,YES
02-03-2010,MEGHALAYA,EAST GARO HILLS,0.13,55.47,19.67,29.59,YES
03-03-2010,MEGHALAYA,EAST GARO HILLS,0,48.09,18.21,30.5,YES
04-03-2010,MEGHALAYA,EAST GARO HILLS,0,49.44,18.2,33.11,YES
05-03-2010,MEGHALAYA,EAST GARO HILLS,0,53.7,18.36,32.4,YES
06-03-2010,MEGHALAYA,EAST GARO HILLS,3.69,51.38,19.89,34.35,YES
07-03-2010,MEGHALAYA,EAST GARO HILLS,2.02,46.64,18.09,32.98,YES
08-03-2010,MEGHALAYA,EAST GARO HILLS,0,41.2,16.8,33.09,YES
09-03-2010,MEGHALAYA,EAST GARO HILLS,0,37.28,16.1,33.08,YES
10-03-2010,MEGHALAYA,EAST GARO HILLS,0,45.43,15.53,33.36,YES
11-03-2010,MEGHALAYA,EAST GARO HILLS,0,48.74,15.85,33.14,YES
